"distribution","n","sm","hd","thd.sqrt"
"Triangular(a=0, b=2, c=1)",41,0.11266,0.10003,0.1044
"Triangular(a=0, b=2, c=1)",42,0.11018,0.10221,0.10204
"Triangular(a=0, b=2, c=1)",43,0.10331,0.09804,0.10231
"Triangular(a=0, b=2, c=1)",44,0.10145,0.09178,0.09791
"Triangular(a=0, b=2, c=1)",45,0.11286,0.09771,0.10274
"Triangular(a=0, b=2, c=1)",46,0.09749,0.09132,0.09354
"Triangular(a=0, b=2, c=1)",47,0.0996,0.09229,0.09503
"Triangular(a=0, b=2, c=1)",48,0.11184,0.1011,0.10691
"Triangular(a=0, b=2, c=1)",49,0.10671,0.10278,0.10389
"Triangular(a=0, b=2, c=1)",50,0.10685,0.09455,0.0975
"Triangular(a=0, b=2, c=0.2)",5,0.35843,0.26569,0.3121
"Triangular(a=0, b=2, c=0.2)",6,0.30453,0.2698,0.28646
"Triangular(a=0, b=2, c=0.2)",7,0.30837,0.23952,0.28122
"Triangular(a=0, b=2, c=0.2)",8,0.27933,0.2182,0.2522
"Triangular(a=0, b=2, c=0.2)",9,0.26566,0.21238,0.2382
"Triangular(a=0, b=2, c=0.2)",10,0.24164,0.20833,0.22177
"Triangular(a=0, b=2, c=0.2)",11,0.25192,0.18996,0.21939
"Triangular(a=0, b=2, c=0.2)",12,0.20627,0.18324,0.20165
"Triangular(a=0, b=2, c=0.2)",13,0.22671,0.18977,0.20858
"Triangular(a=0, b=2, c=0.2)",14,0.20152,0.17671,0.18934
"Triangular(a=0, b=2, c=0.2)",15,0.20335,0.16956,0.18157
"Triangular(a=0, b=2, c=0.2)",16,0.18562,0.1666,0.18258
"Triangular(a=0, b=2, c=0.2)",17,0.2,0.17428,0.18835
"Triangular(a=0, b=2, c=0.2)",18,0.16808,0.16204,0.16812
"Triangular(a=0, b=2, c=0.2)",19,0.17815,0.15879,0.16678
"Triangular(a=0, b=2, c=0.2)",20,0.17567,0.15218,0.16747
"Triangular(a=0, b=2, c=0.2)",21,0.1639,0.14677,0.15626
"Triangular(a=0, b=2, c=0.2)",22,0.17206,0.1524,0.16263
"Triangular(a=0, b=2, c=0.2)",23,0.16746,0.14338,0.15082
"Triangular(a=0, b=2, c=0.2)",24,0.16507,0.14457,0.15129
"Triangular(a=0, b=2, c=0.2)",25,0.16587,0.14512,0.15433
"Triangular(a=0, b=2, c=0.2)",26,0.1449,0.12916,0.13631
"Triangular(a=0, b=2, c=0.2)",27,0.15908,0.14284,0.15039
"Triangular(a=0, b=2, c=0.2)",28,0.15743,0.14391,0.14819
"Triangular(a=0, b=2, c=0.2)",29,0.15378,0.13252,0.14607
"Triangular(a=0, b=2, c=0.2)",30,0.13454,0.12438,0.13327
"Triangular(a=0, b=2, c=0.2)",31,0.14363,0.12323,0.13333
"Triangular(a=0, b=2, c=0.2)",32,0.1383,0.12897,0.13643
"Triangular(a=0, b=2, c=0.2)",33,0.13383,0.11078,0.11662
"Triangular(a=0, b=2, c=0.2)",34,0.1314,0.1277,0.13267
"Triangular(a=0, b=2, c=0.2)",35,0.13724,0.12455,0.13203
"Triangular(a=0, b=2, c=0.2)",36,0.1326,0.1228,0.12583
"Triangular(a=0, b=2, c=0.2)",37,0.1285,0.1259,0.12797
"Triangular(a=0, b=2, c=0.2)",38,0.12677,0.11309,0.11854
"Triangular(a=0, b=2, c=0.2)",39,0.12609,0.11604,0.11995
"Triangular(a=0, b=2, c=0.2)",40,0.12808,0.11916,0.12423
"Triangular(a=0, b=2, c=0.2)",41,0.12276,0.11108,0.11623
"Triangular(a=0, b=2, c=0.2)",42,0.12118,0.1069,0.11294
"Triangular(a=0, b=2, c=0.2)",43,0.11733,0.11181,0.11653
"Triangular(a=0, b=2, c=0.2)",44,0.1182,0.10606,0.11318
"Triangular(a=0, b=2, c=0.2)",45,0.10719,0.10439,0.10577
"Triangular(a=0, b=2, c=0.2)",46,0.11145,0.10754,0.10935
"Triangular(a=0, b=2, c=0.2)",47,0.11678,0.10984,0.11509
"Triangular(a=0, b=2, c=0.2)",48,0.11693,0.10686,0.10929
"Triangular(a=0, b=2, c=0.2)",49,0.10634,0.10046,0.1054
"Triangular(a=0, b=2, c=0.2)",50,0.11186,0.10456,0.10634
"Beta(a=2, b=4)",5,0.13341,0.09799,0.11261
"Beta(a=2, b=4)",6,0.12478,0.09888,0.10957
"Beta(a=2, b=4)",7,0.11602,0.09098,0.10343
"Beta(a=2, b=4)",8,0.09919,0.0869,0.09409
"Beta(a=2, b=4)",9,0.10504,0.08975,0.0994
"Beta(a=2, b=4)",10,0.0875,0.07763,0.08233
"Beta(a=2, b=4)",11,0.09386,0.07862,0.08468
"Beta(a=2, b=4)",12,0.08895,0.07671,0.08305
"Beta(a=2, b=4)",13,0.08948,0.0742,0.08133
"Beta(a=2, b=4)",14,0.08118,0.06888,0.07669
"Beta(a=2, b=4)",15,0.0783,0.06425,0.07103
"Beta(a=2, b=4)",16,0.07455,0.06336,0.07076
"Beta(a=2, b=4)",17,0.07884,0.06545,0.06951
"Beta(a=2, b=4)",18,0.06886,0.06378,0.06652
"Beta(a=2, b=4)",19,0.07171,0.06072,0.06501
"Beta(a=2, b=4)",20,0.06446,0.05762,0.06263
"Beta(a=2, b=4)",21,0.06776,0.06138,0.06362
"Beta(a=2, b=4)",22,0.06309,0.05712,0.06027
"Beta(a=2, b=4)",23,0.06362,0.05509,0.05908
"Beta(a=2, b=4)",24,0.05934,0.05332,0.05707
"Beta(a=2, b=4)",25,0.05909,0.05299,0.05684
"Beta(a=2, b=4)",26,0.05804,0.05201,0.05381
"Beta(a=2, b=4)",27,0.05702,0.05319,0.05423
"Beta(a=2, b=4)",28,0.05402,0.04913,0.05053
"Beta(a=2, b=4)",29,0.05604,0.0483,0.0505
"Beta(a=2, b=4)",30,0.05158,0.04823,0.04978
"Beta(a=2, b=4)",31,0.05434,0.04897,0.05149
"Beta(a=2, b=4)",32,0.05178,0.04806,0.0508
"Beta(a=2, b=4)",33,0.05414,0.04904,0.05198
"Beta(a=2, b=4)",34,0.05188,0.04754,0.05122
"Beta(a=2, b=4)",35,0.04806,0.04556,0.04694
"Beta(a=2, b=4)",36,0.04725,0.04465,0.04727
"Beta(a=2, b=4)",37,0.0505,0.04583,0.04809
"Beta(a=2, b=4)",38,0.04722,0.04369,0.04499
"Beta(a=2, b=4)",39,0.04708,0.04516,0.04504
"Beta(a=2, b=4)",40,0.0457,0.04269,0.04396
"Beta(a=2, b=4)",41,0.04575,0.04003,0.04196
"Beta(a=2, b=4)",42,0.04743,0.04241,0.04408
"Beta(a=2, b=4)",43,0.0417,0.04005,0.0405
"Beta(a=2, b=4)",44,0.0448,0.04072,0.04266
"Beta(a=2, b=4)",45,0.04562,0.04112,0.04415
"Beta(a=2, b=4)",46,0.04595,0.04213,0.04368
"Beta(a=2, b=4)",47,0.04543,0.0428,0.04296
"Beta(a=2, b=4)",48,0.04216,0.03859,0.04073
"Beta(a=2, b=4)",49,0.04291,0.04025,0.04196
"Beta(a=2, b=4)",50,0.042,0.03789,0.04005
"Beta(a=2, b=10)",5,0.08125,0.06716,0.07338
"Beta(a=2, b=10)",6,0.06239,0.05461,0.05905
"Beta(a=2, b=10)",7,0.06852,0.05379,0.05978
"Beta(a=2, b=10)",8,0.05909,0.05201,0.05504
"Beta(a=2, b=10)",9,0.0556,0.04605,0.04882
"Beta(a=2, b=10)",10,0.05408,0.04333,0.04998
"Beta(a=2, b=10)",11,0.05086,0.04414,0.04733
"Beta(a=2, b=10)",12,0.04664,0.03951,0.04335
"Beta(a=2, b=10)",13,0.04617,0.04087,0.04262
"Beta(a=2, b=10)",14,0.04663,0.0381,0.04388
"Beta(a=2, b=10)",15,0.04368,0.03716,0.03879
"Beta(a=2, b=10)",16,0.04091,0.03695,0.04027
"Beta(a=2, b=10)",17,0.03675,0.03454,0.03584
"Beta(a=2, b=10)",18,0.03686,0.03499,0.03677
"Beta(a=2, b=10)",19,0.03716,0.03334,0.03421
"Beta(a=2, b=10)",20,0.03539,0.03104,0.03284
"Beta(a=2, b=10)",21,0.03663,0.03248,0.03524
"Beta(a=2, b=10)",22,0.0325,0.0305,0.03267
"Beta(a=2, b=10)",23,0.03482,0.03156,0.03293
"Beta(a=2, b=10)",24,0.03559,0.03197,0.03391
"Beta(a=2, b=10)",25,0.03334,0.03025,0.03138
"Beta(a=2, b=10)",26,0.03046,0.02706,0.02876
"Beta(a=2, b=10)",27,0.03088,0.02821,0.03016
"Beta(a=2, b=10)",28,0.02975,0.02744,0.02809
"Beta(a=2, b=10)",29,0.03119,0.02727,0.02862
"Beta(a=2, b=10)",30,0.02897,0.02645,0.0275
"Beta(a=2, b=10)",31,0.03088,0.02881,0.02987
"Beta(a=2, b=10)",32,0.02988,0.02818,0.02857
"Beta(a=2, b=10)",33,0.02742,0.02583,0.02711
"Beta(a=2, b=10)",34,0.0278,0.02687,0.02824
"Beta(a=2, b=10)",35,0.02794,0.02521,0.0264
"Beta(a=2, b=10)",36,0.02869,0.02682,0.02727
"Beta(a=2, b=10)",37,0.0276,0.02414,0.02566
"Beta(a=2, b=10)",38,0.02613,0.02438,0.02504
"Beta(a=2, b=10)",39,0.02551,0.02431,0.02443
"Beta(a=2, b=10)",40,0.02381,0.02144,0.02256
"Beta(a=2, b=10)",41,0.0261,0.02426,0.02452
"Beta(a=2, b=10)",42,0.02666,0.02309,0.02445
"Beta(a=2, b=10)",43,0.02233,0.02074,0.02137
"Beta(a=2, b=10)",44,0.02333,0.02228,0.02264
"Beta(a=2, b=10)",45,0.02502,0.02252,0.02361
"Beta(a=2, b=10)",46,0.02377,0.02205,0.02259
"Beta(a=2, b=10)",47,0.02339,0.02193,0.023
"Beta(a=2, b=10)",48,0.02348,0.02258,0.02313
"Beta(a=2, b=10)",49,0.02324,0.02189,0.02231
"Beta(a=2, b=10)",50,0.02424,0.0225,0.02296
"Normal(m=0, sd=1)",5,0.71589,0.57246,0.65047
"Normal(m=0, sd=1)",6,0.63508,0.53332,0.58829
"Normal(m=0, sd=1)",7,0.64978,0.50411,0.55297
"Normal(m=0, sd=1)",8,0.56622,0.49387,0.54638
